Current VTU:,103
Complete Jobs:,2
Rejected Jobs:,0
Average Hole:,765.0
Total Fragmented Bytes:,0.0
Storage Utilization:,15.0

Current VTU:,248
Complete Jobs:,7
Rejected Jobs:,0
Average Hole:,327.5
Total Fragmented Bytes:,20.0
Storage Utilization:,27.222221

Current VTU:,303
Complete Jobs:,8
Rejected Jobs:,0
Average Hole:,282.0
Total Fragmented Bytes:,20.0
Storage Utilization:,21.666666

Current VTU:,433
Complete Jobs:,13
Rejected Jobs:,0
Average Hole:,187.5
Total Fragmented Bytes:,60.0
Storage Utilization:,16.666666

Current VTU:,518
Complete Jobs:,15
Rejected Jobs:,0
Average Hole:,176.66667
Total Fragmented Bytes:,60.0
Storage Utilization:,40.555557

Current VTU:,623
Complete Jobs:,20
Rejected Jobs:,0
Average Hole:,91.25
Total Fragmented Bytes:,80.0
Storage Utilization:,58.333332

Current VTU:,753
Complete Jobs:,23
Rejected Jobs:,0
Average Hole:,110.0
Total Fragmented Bytes:,80.0
Storage Utilization:,31.666666

Current VTU:,843
Complete Jobs:,25
Rejected Jobs:,0
Average Hole:,85.0
Total Fragmented Bytes:,120.0
Storage Utilization:,41.666668

Current VTU:,913
Complete Jobs:,28
Rejected Jobs:,0
Average Hole:,73.84615
Total Fragmented Bytes:,140.0
Storage Utilization:,44.444443

Current VTU:,1003
Complete Jobs:,32
Rejected Jobs:,0
Average Hole:,93.125
Total Fragmented Bytes:,140.0
Storage Utilization:,15.0

Current VTU:,1118
Complete Jobs:,37
Rejected Jobs:,1
Average Hole:,78.75
Total Fragmented Bytes:,170.0
Storage Utilization:,27.222221

Current VTU:,1208
Complete Jobs:,41
Rejected Jobs:,2
Average Hole:,84.0
Total Fragmented Bytes:,170.0
Storage Utilization:,25.555555

Current VTU:,1318
Complete Jobs:,45
Rejected Jobs:,3
Average Hole:,87.05882
Total Fragmented Bytes:,190.0
Storage Utilization:,13.333333

Current VTU:,1443
Complete Jobs:,49
Rejected Jobs:,4
Average Hole:,68.42105
Total Fragmented Bytes:,260.0
Storage Utilization:,22.777779

Current VTU:,1518
Complete Jobs:,51
Rejected Jobs:,6
Average Hole:,64.375
Total Fragmented Bytes:,260.0
Storage Utilization:,37.22222

Current VTU:,1603
Complete Jobs:,55
Rejected Jobs:,6
Average Hole:,60.526318
Total Fragmented Bytes:,280.0
Storage Utilization:,30.555555

Current VTU:,1723
Complete Jobs:,59
Rejected Jobs:,13
Average Hole:,62.5
Total Fragmented Bytes:,280.0
Storage Utilization:,38.333332

Current VTU:,1818
Complete Jobs:,62
Rejected Jobs:,14
Average Hole:,71.17647
Total Fragmented Bytes:,280.0
Storage Utilization:,26.11111

Current VTU:,1903
Complete Jobs:,66
Rejected Jobs:,14
Average Hole:,76.666664
Total Fragmented Bytes:,280.0
Storage Utilization:,3.8888888

Current VTU:,2008
Complete Jobs:,68
Rejected Jobs:,17
Average Hole:,57.64706
Total Fragmented Bytes:,280.0
Storage Utilization:,37.77778

Current VTU:,2118
Complete Jobs:,72
Rejected Jobs:,22
Average Hole:,56.842106
Total Fragmented Bytes:,340.0
Storage Utilization:,32.22222

Current VTU:,2218
Complete Jobs:,75
Rejected Jobs:,23
Average Hole:,30.588236
Total Fragmented Bytes:,390.0
Storage Utilization:,63.333332

Current VTU:,2323
Complete Jobs:,78
Rejected Jobs:,23
Average Hole:,39.0
Total Fragmented Bytes:,390.0
Storage Utilization:,48.88889

Current VTU:,2413
Complete Jobs:,80
Rejected Jobs:,23
Average Hole:,50.454544
Total Fragmented Bytes:,390.0
Storage Utilization:,30.555555

Current VTU:,2553
Complete Jobs:,84
Rejected Jobs:,24
Average Hole:,53.75
Total Fragmented Bytes:,390.0
Storage Utilization:,20.0

Current VTU:,2623
Complete Jobs:,86
Rejected Jobs:,26
Average Hole:,45.238094
Total Fragmented Bytes:,390.0
Storage Utilization:,38.88889

Current VTU:,2718
Complete Jobs:,88
Rejected Jobs:,26
Average Hole:,48.636364
Total Fragmented Bytes:,390.0
Storage Utilization:,31.666666

Current VTU:,2823
Complete Jobs:,92
Rejected Jobs:,26
Average Hole:,57.692307
Total Fragmented Bytes:,390.0
Storage Utilization:,7.7777777

Current VTU:,2938
Complete Jobs:,95
Rejected Jobs:,27
Average Hole:,53.333332
Total Fragmented Bytes:,390.0
Storage Utilization:,19.444445

Current VTU:,3033
Complete Jobs:,98
Rejected Jobs:,27
Average Hole:,44.0
Total Fragmented Bytes:,440.0
Storage Utilization:,29.444445

Current VTU:,3108
Complete Jobs:,101
Rejected Jobs:,27
Average Hole:,45.0
Total Fragmented Bytes:,440.0
Storage Utilization:,25.555555

Current VTU:,3223
Complete Jobs:,105
Rejected Jobs:,31
Average Hole:,44.347828
Total Fragmented Bytes:,440.0
Storage Utilization:,32.77778

Current VTU:,3313
Complete Jobs:,109
Rejected Jobs:,31
Average Hole:,52.22222
Total Fragmented Bytes:,440.0
Storage Utilization:,11.111111

Current VTU:,3443
Complete Jobs:,114
Rejected Jobs:,36
Average Hole:,53.703705
Total Fragmented Bytes:,440.0
Storage Utilization:,8.333333

Current VTU:,3503
Complete Jobs:,116
Rejected Jobs:,64
Average Hole:,38.636364
Total Fragmented Bytes:,440.0
Storage Utilization:,41.11111

Current VTU:,3608
Complete Jobs:,119
Rejected Jobs:,64
Average Hole:,42.8
Total Fragmented Bytes:,440.0
Storage Utilization:,28.88889

Current VTU:,3713
Complete Jobs:,123
Rejected Jobs:,76
Average Hole:,41.904762
Total Fragmented Bytes:,440.0
Storage Utilization:,39.444443

Current VTU:,3803
Complete Jobs:,126
Rejected Jobs:,76
Average Hole:,50.0
Total Fragmented Bytes:,440.0
Storage Utilization:,21.666666

Current VTU:,3933
Complete Jobs:,131
Rejected Jobs:,77
Average Hole:,47.083332
Total Fragmented Bytes:,440.0
Storage Utilization:,25.555555

Current VTU:,4028
Complete Jobs:,134
Rejected Jobs:,78
Average Hole:,46.0
Total Fragmented Bytes:,440.0
Storage Utilization:,24.444445

Current VTU:,4123
Complete Jobs:,137
Rejected Jobs:,92
Average Hole:,40.454544
Total Fragmented Bytes:,440.0
Storage Utilization:,38.88889

Current VTU:,4228
Complete Jobs:,140
Rejected Jobs:,92
Average Hole:,46.4
Total Fragmented Bytes:,440.0
Storage Utilization:,23.88889

Current VTU:,4303
Complete Jobs:,143
Rejected Jobs:,92
Average Hole:,53.92857
Total Fragmented Bytes:,440.0
Storage Utilization:,4.4444447

Current VTU:,4408
Complete Jobs:,145
Rejected Jobs:,108
Average Hole:,47.6
Total Fragmented Bytes:,440.0
Storage Utilization:,22.222221

Current VTU:,4513
Complete Jobs:,151
Rejected Jobs:,113
Average Hole:,43.75
Total Fragmented Bytes:,440.0
Storage Utilization:,30.0

Current VTU:,4618
Complete Jobs:,154
Rejected Jobs:,118
Average Hole:,43.333332
Total Fragmented Bytes:,440.0
Storage Utilization:,30.555555

Current VTU:,4703
Complete Jobs:,158
Rejected Jobs:,123
Average Hole:,43.47826
Total Fragmented Bytes:,440.0
Storage Utilization:,32.77778

Current VTU:,4813
Complete Jobs:,161
Rejected Jobs:,127
Average Hole:,47.083332
Total Fragmented Bytes:,440.0
Storage Utilization:,25.555555

Current VTU:,4903
Complete Jobs:,163
Rejected Jobs:,133
Average Hole:,47.916668
Total Fragmented Bytes:,440.0
Storage Utilization:,24.444445
