Current VTU:,103
Complete Jobs:,4
Rejected Jobs:,0
Average Hole:,446.66666
Total Fragmented Bytes:,0.0
Storage Utilization:,25.555555

Current VTU:,223
Complete Jobs:,8
Rejected Jobs:,6
Average Hole:,63.333332
Total Fragmented Bytes:,30.0
Storage Utilization:,78.333336

Current VTU:,303
Complete Jobs:,11
Rejected Jobs:,14
Average Hole:,47.142857
Total Fragmented Bytes:,80.0
Storage Utilization:,81.111115

Current VTU:,438
Complete Jobs:,14
Rejected Jobs:,33
Average Hole:,41.42857
Total Fragmented Bytes:,110.0
Storage Utilization:,82.77778

Current VTU:,558
Complete Jobs:,18
Rejected Jobs:,50
Average Hole:,36.666668
Total Fragmented Bytes:,170.0
Storage Utilization:,80.55556

Current VTU:,608
Complete Jobs:,19
Rejected Jobs:,55
Average Hole:,36.666668
Total Fragmented Bytes:,170.0
Storage Utilization:,80.55556

Current VTU:,708
Complete Jobs:,22
Rejected Jobs:,61
Average Hole:,37.0
Total Fragmented Bytes:,210.0
Storage Utilization:,77.77778

Current VTU:,828
Complete Jobs:,26
Rejected Jobs:,90
Average Hole:,36.153847
Total Fragmented Bytes:,250.0
Storage Utilization:,72.22222

Current VTU:,903
Complete Jobs:,29
Rejected Jobs:,103
Average Hole:,41.333332
Total Fragmented Bytes:,250.0
Storage Utilization:,63.333332

Current VTU:,1028
Complete Jobs:,34
Rejected Jobs:,116
Average Hole:,36.875
Total Fragmented Bytes:,300.0
Storage Utilization:,64.44444

Current VTU:,1113
Complete Jobs:,38
Rejected Jobs:,133
Average Hole:,42.105263
Total Fragmented Bytes:,320.0
Storage Utilization:,52.77778

Current VTU:,1203
Complete Jobs:,40
Rejected Jobs:,146
Average Hole:,34.736843
Total Fragmented Bytes:,380.0
Storage Utilization:,60.0

Current VTU:,1308
Complete Jobs:,43
Rejected Jobs:,164
Average Hole:,33.0
Total Fragmented Bytes:,400.0
Storage Utilization:,59.444443

Current VTU:,1438
Complete Jobs:,46
Rejected Jobs:,179
Average Hole:,34.545456
Total Fragmented Bytes:,420.0
Storage Utilization:,53.88889

Current VTU:,1528
Complete Jobs:,48
Rejected Jobs:,195
Average Hole:,30.0
Total Fragmented Bytes:,420.0
Storage Utilization:,63.88889

Current VTU:,1608
Complete Jobs:,50
Rejected Jobs:,209
Average Hole:,31.0
Total Fragmented Bytes:,440.0
Storage Utilization:,61.11111

Current VTU:,1723
Complete Jobs:,54
Rejected Jobs:,233
Average Hole:,32.727272
Total Fragmented Bytes:,440.0
Storage Utilization:,55.555557

Current VTU:,1808
Complete Jobs:,56
Rejected Jobs:,243
Average Hole:,30.0
Total Fragmented Bytes:,460.0
Storage Utilization:,58.333332

Current VTU:,1903
Complete Jobs:,58
Rejected Jobs:,257
Average Hole:,33.333332
Total Fragmented Bytes:,460.0
Storage Utilization:,50.555557

Current VTU:,2033
Complete Jobs:,64
Rejected Jobs:,278
Average Hole:,36.666668
Total Fragmented Bytes:,460.0
Storage Utilization:,40.0

Current VTU:,2108
Complete Jobs:,66
Rejected Jobs:,288
Average Hole:,35.517242
Total Fragmented Bytes:,480.0
Storage Utilization:,37.77778

Current VTU:,2238
Complete Jobs:,71
Rejected Jobs:,309
Average Hole:,38.78788
Total Fragmented Bytes:,480.0
Storage Utilization:,23.88889

Current VTU:,2328
Complete Jobs:,73
Rejected Jobs:,321
Average Hole:,34.666668
Total Fragmented Bytes:,480.0
Storage Utilization:,36.666668

Current VTU:,2418
Complete Jobs:,75
Rejected Jobs:,336
Average Hole:,35.80645
Total Fragmented Bytes:,480.0
Storage Utilization:,32.22222

Current VTU:,2513
Complete Jobs:,78
Rejected Jobs:,352
Average Hole:,35.0
Total Fragmented Bytes:,480.0
Storage Utilization:,35.0

Current VTU:,2613
Complete Jobs:,81
Rejected Jobs:,375
Average Hole:,36.774193
Total Fragmented Bytes:,480.0
Storage Utilization:,30.0

Current VTU:,2723
Complete Jobs:,84
Rejected Jobs:,387
Average Hole:,36.875
Total Fragmented Bytes:,480.0
Storage Utilization:,27.222221

Current VTU:,2808
Complete Jobs:,88
Rejected Jobs:,406
Average Hole:,36.25
Total Fragmented Bytes:,480.0
Storage Utilization:,27.777779

Current VTU:,2933
Complete Jobs:,91
Rejected Jobs:,421
Average Hole:,35.9375
Total Fragmented Bytes:,480.0
Storage Utilization:,28.333334

Current VTU:,3038
Complete Jobs:,93
Rejected Jobs:,442
Average Hole:,36.969696
Total Fragmented Bytes:,480.0
Storage Utilization:,24.444445

Current VTU:,3108
Complete Jobs:,95
Rejected Jobs:,449
Average Hole:,35.757576
Total Fragmented Bytes:,500.0
Storage Utilization:,26.666666

Current VTU:,3228
Complete Jobs:,99
Rejected Jobs:,470
Average Hole:,36.47059
Total Fragmented Bytes:,500.0
Storage Utilization:,23.333334

Current VTU:,3313
Complete Jobs:,101
Rejected Jobs:,480
Average Hole:,35.757576
Total Fragmented Bytes:,500.0
Storage Utilization:,26.666666

Current VTU:,3418
Complete Jobs:,106
Rejected Jobs:,494
Average Hole:,38.285713
Total Fragmented Bytes:,500.0
Storage Utilization:,17.777779

Current VTU:,3538
Complete Jobs:,109
Rejected Jobs:,512
Average Hole:,37.714287
