Current VTU:,125
Complete Jobs:,4
Rejected Jobs:,1
Average Hole:,117.5
Total Fragmented Bytes:,0.0
Storage Utilization:,73.888885

Current VTU:,245
Complete Jobs:,7
Rejected Jobs:,18
Average Hole:,68.0
Total Fragmented Bytes:,0.0
Storage Utilization:,81.111115

Current VTU:,305
Complete Jobs:,11
Rejected Jobs:,33
Average Hole:,52.22222
Total Fragmented Bytes:,80.0
Storage Utilization:,73.888885

Current VTU:,410
Complete Jobs:,14
Rejected Jobs:,47
Average Hole:,52.0
Total Fragmented Bytes:,80.0
Storage Utilization:,70.55556

Current VTU:,520
Complete Jobs:,18
Rejected Jobs:,63
Average Hole:,43.846153
Total Fragmented Bytes:,130.0
Storage Utilization:,67.77778

Current VTU:,605
Complete Jobs:,21
Rejected Jobs:,73
Average Hole:,42.5
Total Fragmented Bytes:,180.0
Storage Utilization:,61.666668

Current VTU:,735
Complete Jobs:,26
Rejected Jobs:,86
Average Hole:,44.285713
Total Fragmented Bytes:,210.0
Storage Utilization:,47.77778

Current VTU:,805
Complete Jobs:,28
Rejected Jobs:,96
Average Hole:,43.636364
Total Fragmented Bytes:,210.0
Storage Utilization:,46.11111

Current VTU:,930
Complete Jobs:,32
Rejected Jobs:,117
Average Hole:,48.333332
Total Fragmented Bytes:,210.0
Storage Utilization:,34.444443

Current VTU:,1035
Complete Jobs:,35
Rejected Jobs:,131
Average Hole:,46.666668
Total Fragmented Bytes:,230.0
Storage Utilization:,28.88889

Current VTU:,1115
Complete Jobs:,37
Rejected Jobs:,147
Average Hole:,45.185184
Total Fragmented Bytes:,230.0
Storage Utilization:,30.555555

Current VTU:,1215
Complete Jobs:,39
Rejected Jobs:,164
Average Hole:,43.92857
Total Fragmented Bytes:,250.0
Storage Utilization:,30.0

Current VTU:,1325
Complete Jobs:,41
Rejected Jobs:,174
Average Hole:,42.592594
Total Fragmented Bytes:,250.0
Storage Utilization:,32.77778

Current VTU:,1425
Complete Jobs:,44
Rejected Jobs:,193
Average Hole:,43.214287
Total Fragmented Bytes:,250.0
Storage Utilization:,29.444445

Current VTU:,1515
Complete Jobs:,46
Rejected Jobs:,207
Average Hole:,42.857143
Total Fragmented Bytes:,250.0
Storage Utilization:,30.0

Current VTU:,1610
Complete Jobs:,50
Rejected Jobs:,221
Average Hole:,42.333332
Total Fragmented Bytes:,280.0
Storage Utilization:,25.555555

Current VTU:,1725
Complete Jobs:,54
Rejected Jobs:,244
Average Hole:,42.333332
Total Fragmented Bytes:,280.0
Storage Utilization:,23.333334

Current VTU:,1805
Complete Jobs:,57
Rejected Jobs:,255
Average Hole:,42.258064
Total Fragmented Bytes:,280.0
Storage Utilization:,20.555555

Current VTU:,1950
Complete Jobs:,61
Rejected Jobs:,277
Average Hole:,43.030304
Total Fragmented Bytes:,280.0
Storage Utilization:,14.444445

Current VTU:,2015
Complete Jobs:,64
Rejected Jobs:,291
Average Hole:,44.0
Total Fragmented Bytes:,280.0
Storage Utilization:,7.7777777

Current VTU:,2115
Complete Jobs:,67
Rejected Jobs:,306
Average Hole:,42.57143
Total Fragmented Bytes:,310.0
Storage Utilization:,10.555555

Current VTU:,2220
Complete Jobs:,70
Rejected Jobs:,326
Average Hole:,41.944443
